Loan Number,Sent To Closing
2304080678,4/27/2023 12:00:00 AM
2304080680,5/1/2023 12:00:00 AM
2304080682,4/29/2023 12:00:00 AM
2304080683,4/27/2023 12:00:00 AM
2304080684,
2304080685,
2304080686,
2304080689,5/5/2023 12:00:00 AM
2304080690,
2304080691,4/29/2023 12:00:00 AM
2304080693,6/22/2023 12:00:00 AM
2304080694,
2304080695,
2304080696,5/15/2023 12:00:00 AM
2304080697,
2304080698,
2304080702,
2304080703,
2304080704,
2304080706,
2304080707,6/2/2023 12:00:00 AM
2304080708,
2304080709,5/25/2023 12:00:00 AM
2304080711,6/7/2023 12:00:00 AM
2304080714,
2304080715,5/24/2023 12:00:00 AM
2304080717,
2304080718,
2304080719,5/6/2023 12:00:00 AM
2304080720,5/19/2023 12:00:00 AM
2304080722,
2304080723,5/8/2023 12:00:00 AM
2304080724,
2304080725,5/4/2023 12:00:00 AM
2304080726,
2304080727,
2304080728,
2304080731,
2304080732,
2304080734,5/2/2023 12:00:00 AM
2304080735,5/4/2023 12:00:00 AM
2304080737,5/15/2023 12:00:00 AM
2304080739,
2304080742,
2304080744,5/5/2023 12:00:00 AM
2304080745,
2304080747,5/31/2023 12:00:00 AM
2304080749,5/13/2023 12:00:00 AM
2304080750,
2304080751,
2304080753,
2304080755,
2304080757,6/14/2023 12:00:00 AM
2304080759,
2304080761,
2304080765,
2304080768,
2304080770,8/4/2023 12:00:00 AM
2304080771,
2304080773,5/6/2023 12:00:00 AM
2304080774,
2304080776,6/14/2023 12:00:00 AM
2304080778,
2304080779,5/4/2023 12:00:00 AM
2304080780,5/8/2023 12:00:00 AM
2304080782,7/7/2023 12:00:00 AM
2304080783,
2304080784,8/25/2023 12:00:00 AM
2304080785,
2304080788,
2304080789,5/25/2023 12:00:00 AM
2304080790,4/29/2023 12:00:00 AM
2304080793,
2304080796,
2304080799,
2304080800,
2304080803,5/19/2023 12:00:00 AM
2304080804,
2304080805,8/31/2023 12:00:00 AM
2304080808,7/20/2023 12:00:00 AM
2304080809,
2304080813,
2304080815,5/25/2023 12:00:00 AM
2304080816,
2304080817,
2304080818,
2304080820,
2304080821,
2304080822,
2304080824,
2304080825,
2304080826,
2304080827,5/19/2023 12:00:00 AM
2304080828,
2304080829,6/5/2023 12:00:00 AM
2304080830,
2304080831,
